订单ID	用户ID	国家	省份	城市	区县	订单金额
340360	74814	1	14	208	1751	50
340361	154522	1	14	201	1684	38
340362	60552	1	11	149	1265	258
340363	54091	1	26	331	2823	87
340364	6494	1	32	394	3338	150
340365	157651	1	14	202	1698	127
340366	24760	1	17	242	2052	148
340367	17028	1	11	149	1251	150
340368	35193	1	4	53	526	335
340369	170667	1	16	220	1843	243
340370	210914	1	10	144	1186	407
340371	24800	1	12	167	1421	205
340372	214570	1	32	394	3333	139
340373	212397	1	6	82	760	127
340374	2522	1	10	145	1194	1039
340375	206181	1	8	112	974	80
340376	231453	1	26	341	2900	40
340377	29416	1	3	3401	3404	76
340378	60552	1	11	149	1265	102
340379	59999	1	26	322	2722	70
340380	67699	1	7	107	938	45
340381	63100	1	12	168	1437	92
340382	219309	1	13	180	1549	50
340383	86050	1	22	289	2389	106
340384	211380	1	15	212	1785	296
340385	52852	1	25	321	2717	115
340386	215277	1	23	300	2475	1520
340387	70987	1	26	342	2905	318
340388	211567	1	32	394	3335	177
340389	126127	1	6	95	844	118
340390	154647	1	26	322	2748	272
340391	216378	1	32	394	3335	60
340392	8353	1	16	223	1884	115
340393	21896	1	10	138	1080	732
340394	116794	1	16	222	1878	133
340395	225165	1	13	195	1635	101
340396	167217	1	26	326	2779	236
340397	160259	1	3	41	439	104
340398	226826	1	22	289	2386	78
340399	212397	1	6	82	760	109
340400	41464	1	6	80	747	29
340401	95054	1	31	383	3234	163
340402	232212	1	14	207	1737	243
340403	160464	1	6	80	747	142
340404	230162	1	6	77	708	157
340405	21017	1	11	160	1367	297
340406	23511	1	26	322	2723	132
340407	1830	1	27	343	2921	136
340408	167217	1	26	326	2779	547
340409	126127	1	6	96	850	118
340410	156728	1	22	291	2403	243
340411	184350	1	26	322	2748	184
340412	167217	1	26	326	2779	360
340413	166308	1	18	245	2078	32
340414	88236	1	3	43	449	61
340415	832	1	14	210	1763	282
340416	171716	1	17	233	1963	58
340417	86664	1	16	222	1877	89
340418	21938	1	14	200	1670	98
340419	105148	1	14	207	1738	70
340420	128079	1	31	383	3230	148
340421	172560	1	2	52	500	447
340422	173470	1	6	76	698	50
340423	18805	1	26	322	2724	1349
340424	154335	1	13	180	1546	133
340425	112966	1	14	206	1727	233
340426	21417	1	13	180	1550	172
340427	144474	1	3	3401	3405	113
340428	181110	1	13	180	1554	58
340429	17059	1	6	90	809	342
340430	147705	1	3	41	437	200
340431	47283	1	8	111	968	504
340432	216581	1	31	386	3265	53
340433	105825	1	26	322	2727	56
340434	8590	1	11	163	1393	806
340435	215277	1	23	300	2475	1969
340436	63438	1	16	224	1893	30
340437	44354	1	14	197	1650	215
340438	21304	1	24	317	2662	180
340439	198777	1	31	383	3235	214
340440	91438	1	16	220	1842	99
340441	65400	1	26	325	2775	512
340442	43465	1	32	394	3340	104
340443	208697	1	26	327	2786	195
340444	157264	1	11	155	1308	205
340445	139674	1	6	76	693	40
340446	93081	1	16	223	1886	125
340447	124049	1	17	240	2041	474
340448	162150	1	4	58	568	306
340449	11725	1	6	80	748	32
340450	206595	1	19	265	2228	551
340451	230421	1	31	388	3281	84
340452	34377	1	14	202	1693	272
340453	24937	1	15	211	1777	4928
340454	174337	1	14	200	1670	113
340455	65400	1	26	325	2775	131
340456	139689	1	5	62	608	87
340457	103576	1	11	164	1396	41
340458	171467	1	6	77	708	248
340459	61974	1	6	76	693	242
340460	123154	1	32	394	3335	240
340461	66856	1	15	211	1772	710
340462	169486	1	31	388	3286	263
340463	8044	1	14	197	1648	81
340464	121325	1	14	197	1654	64
340465	222493	1	11	166	1411	245
340466	33763	1	13	190	1602	71
340467	198201	1	31	391	3305	98
340468	118193	1	3	41	444	1369
340469	46041	1	6	77	708	142
340470	47557	1	17	239	2028	287
340471	71196	1	4	53	520	72
340472	224569	1	31	391	3308	50
340473	127662	1	26	322	2731	483
340474	208291	1	11	149	1264	500
340475	104677	1	24	311	2604	60
340476	231475	1	14	197	1648	405
340477	17646	1	14	197	1653	119
340478	149584	1	18	245	2080	332
340479	6183	1	12	167	1415	524
340480	230015	1	2	52	506	124
340481	38717	1	25	321	2717	236
340482	220941	1	26	323	2753	102
340483	42654	1	17	233	1963	127
340484	195223	1	8	113	980	469
340485	232487	1	6	88	798	142
340486	66497	1	8	111	964	205
340487	28589	1	14	210	1767	63
340488	201409	1	24	319	2679	147
340489	9133	1	11	164	1394	118
340490	59570	1	14	197	1648	159
340491	198331	1	25	321	2712	80
340492	141213	1	24	318	2664	61
340493	6183	1	12	167	1415	514
340494	31058	1	26	331	2823	43
340495	36266	1	12	173	1471	928
340496	680	1	20	273	2280	986
340497	19824	1	4	53	520	119
340498	123200	1	3	47	476	112
340499	32748	1	11	161	1370	50
340500	194947	1	16	220	1843	84
340501	215277	1	23	300	2475	386
340502	24081	1	16	222	1877	787
340503	12674	1	11	149	1265	2942
340504	222493	1	11	166	1411	108
340505	144558	1	18	245	2075	329
340506	93136	1	4	57	559	413
340507	201611	1	16	222	1870	467
340508	59570	1	14	197	1648	217
340509	219748	1	25	321	2706	170
340510	147258	1	24	311	2599	64
340511	110167	1	6	76	696	66
340512	107482	1	14	205	1724	222
