订单ID	用户ID	国家	省份	城市	区县	订单金额
338959	131938	1	12	173	1471	165
338960	13636	1	6	78	712	84
338961	209969	1	6	92	823	408
338962	69789	1	14	202	1693	206
338963	77002	1	10	144	1186	154
338964	71888	1	13	180	1556	53
338965	129177	1	31	386	3266	380
338966	111559	1	26	322	2749	635
338967	153343	1	6	76	696	59
338968	16717	1	6	77	708	206
338969	48	1	14	210	1763	471
338970	27503	1	31	386	3255	84
338971	54073	1	6	80	747	622
338972	66193	1	14	205	1722	617
338973	155496	1	11	149	1253	187
338974	31344	1	6	77	709	1176
338975	47831	1	30	368	3114	121
338976	5295	1	30	376	3171	760
338977	216145	1	11	166	1409	253
338978	89832	1	25	321	2715	39
338979	220628	1	30	367	3100	91
338980	175611	1	2	52	501	120
338981	155633	1	6	79	743	254
338982	3100	1	4	59	575	328
338983	231637	1	10	144	1191	126
338984	60697	1	11	161	1371	191
338985	69789	1	14	202	1693	75
338986	125407	1	4	57	559	351
338987	50195	1	6	77	708	287
338988	23765	1	22	292	2419	80
338989	111478	1	14	209	1752	162
338990	197163	1	6	95	3412	39
338991	222880	1	11	160	1361	53
338992	20138	1	2	52	506	93
338993	55059	1	25	321	2705	308
338994	85885	1	31	385	3253	1842
338995	131010	1	31	385	3254	1557
338996	16827	1	6	76	697	44
338997	92822	1	19	258	2162	390
338998	164658	1	4	58	570	150
338999	186813	1	2	52	506	65
339000	54700	1	6	91	820	1065
339001	92822	1	19	258	2162	83
339002	17646	1	14	197	1653	143
339003	70987	1	26	342	2905	310
339004	38350	1	10	143	1173	119
339005	92325	1	30	376	3173	617
339006	177233	1	11	156	1319	356
339007	76138	1	30	367	3102	112
339008	18460	1	13	195	1635	95
339009	57240	1	14	203	1708	542
339010	13635	1	6	92	823	70
339011	213821	1	25	321	2720	3179
339012	28617	1	17	235	1983	137
339013	98631	1	7	109	954	133
339014	149617	1	26	331	2823	1045
339015	223312	1	14	202	1693	1492
339016	12271	1	7	103	911	51
339017	205663	1	26	332	2830	225
339018	101854	1	26	341	2900	258
339019	49873	1	22	288	2383	335
339020	12271	1	6	77	3415	37
339021	143999	1	6	88	800	138
339022	92822	1	19	258	2162	336
339023	66497	1	8	111	964	491
339024	25978	1	2	52	501	891
339025	190910	1	31	383	3234	88
339026	141113	1	6	82	758	64
339027	164788	1	26	322	2723	119
339028	59914	1	6	77	707	367
339029	63552	1	6	90	809	1207
339030	61974	1	6	76	693	442
339031	190936	1	11	160	1356	1036
339032	73444	1	14	205	1722	601
339033	61974	1	6	76	693	178
339034	195224	1	6	96	850	377
339035	66073	1	6	84	770	87
339036	145327	1	26	334	2860	315
339037	195224	1	6	96	850	37
339038	189322	1	3	49	487	143
339039	188174	1	6	76	697	110
339040	16974	1	26	341	2900	103
339041	176127	1	26	322	2748	282
339042	117	1	6	88	801	1506
339043	58324	1	31	391	3308	82
339044	172044	1	6	84	773	602
339045	2945	1	6	76	697	516
339046	3006	1	6	93	828	62
339047	12271	1	14	197	1648	49
339048	228830	1	6	80	747	62
339049	5295	1	30	376	3171	601
339050	34046	1	13	180	1546	160
339051	215595	1	4	61	597	38
339052	88	1	14	197	1648	74
339053	92125	1	7	105	928	1739
339054	140109	1	11	161	1375	493
339055	156502	1	6	76	701	70
339056	107277	1	8	116	1012	1133
339057	1113	1	6	88	801	350
339058	16974	1	26	341	2900	104
339059	211850	1	14	206	1727	62
339060	103894	1	6	79	717	70
339061	200689	1	6	76	696	171
339062	193659	1	27	343	2912	92
339063	75468	1	25	321	2707	302
339064	1593	1	14	197	1647	401
339065	183801	1	6	76	696	136
339066	132219	1	6	76	700	527
339067	156464	1	30	373	3148	94
339068	94310	1	10	138	1092	157
339069	1113	1	6	88	801	83
339070	222977	1	31	385	3248	599
339071	44527	1	30	367	3100	326
339072	79691	1	31	388	3279	74
339073	102091	1	25	321	2707	314
339074	8923	1	6	79	719	143
339075	224612	1	13	180	1544	108
339076	211850	1	14	206	1727	35
339077	120991	1	5	70	656	205
339078	231249	1	17	239	2028	4308
339079	123927	1	7	109	953	130
339080	23087	1	27	343	2918	37
339081	210860	1	31	390	3304	1031
339082	195224	1	6	96	850	413
339083	283	1	4	58	563	513
339084	26768	1	14	202	1693	516
